timestamp,log_type,message,stacktrace
0.7,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at <f3aa2b8a4d6542feaec3a5d5088707fc>:0).  
0.72,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at <f3aa2b8a4d6542feaec3a5d5088707fc>:0).  
0.74,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at <f3aa2b8a4d6542feaec3a5d5088707fc>:0).  
0.76,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at <f3aa2b8a4d6542feaec3a5d5088707fc>:0).  
0.78,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at <f3aa2b8a4d6542feaec3a5d5088707fc>:0).  
0.8,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at <f3aa2b8a4d6542feaec3a5d5088707fc>:0).  
0.82,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at <f3aa2b8a4d6542feaec3a5d5088707fc>:0).  
0.84,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at <f3aa2b8a4d6542feaec3a5d5088707fc>:0).  
0.86,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at <f3aa2b8a4d6542feaec3a5d5088707fc>:0).  
0.88,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at <f3aa2b8a4d6542feaec3a5d5088707fc>:0).  
0.9,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at <f3aa2b8a4d6542feaec3a5d5088707fc>:0).  
0.92,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at <f3aa2b8a4d6542feaec3a5d5088707fc>:0).  
0.94,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at <f3aa2b8a4d6542feaec3a5d5088707fc>:0).  
0.96,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at <f3aa2b8a4d6542feaec3a5d5088707fc>:0).  
0.98,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at <f3aa2b8a4d6542feaec3a5d5088707fc>:0).  
1,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at <f3aa2b8a4d6542feaec3a5d5088707fc>:0).  
1.02,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at <f3aa2b8a4d6542feaec3a5d5088707fc>:0).  
1.04,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at <f3aa2b8a4d6542feaec3a5d5088707fc>:0).  
1.06,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at <f3aa2b8a4d6542feaec3a5d5088707fc>:0).  
1.08,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at <f3aa2b8a4d6542feaec3a5d5088707fc>:0).  
1.1,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at <f3aa2b8a4d6542feaec3a5d5088707fc>:0).  
1.12,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at <f3aa2b8a4d6542feaec3a5d5088707fc>:0).  
1.14,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at <f3aa2b8a4d6542feaec3a5d5088707fc>:0).  
1.16,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at <f3aa2b8a4d6542feaec3a5d5088707fc>:0).  
1.18,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at <f3aa2b8a4d6542feaec3a5d5088707fc>:0).  
1.2,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at <f3aa2b8a4d6542feaec3a5d5088707fc>:0).  
1.22,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at <f3aa2b8a4d6542feaec3a5d5088707fc>:0).  
1.24,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at <f3aa2b8a4d6542feaec3a5d5088707fc>:0).  
1.26,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at <f3aa2b8a4d6542feaec3a5d5088707fc>:0).  
