timestamp,log_type,message,stacktrace
1.52,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
1.54,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
1.56,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
1.58,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
1.6,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
1.62,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
1.64,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
1.66,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
1.68,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
1.7,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
1.72,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
1.74,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
1.76,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
1.78,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
1.8,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
1.82,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
1.84,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
1.86,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
1.88,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
1.9,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
1.92,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
1.94,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
